issn,journal,impact_factor,jcr_quartile,cas_partition
1556-4681,ACM Transactions on Knowledge Discovery from Data,4.8,Q1,3区
,ACM Transactions on Knowledge Discovery from Data,4.8,Q1,3区
2158-656X,ACM Transactions on Management Information Systems,3.6,Q2,4区
,ACM Transactions on Management Information Systems,3.6,Q2,4区
0098-3500,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,3.2,Q1,2区
,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,3.2,Q1,2区
1049-3301,ACM Transactions on Modeling and Computer Simulation,1.9,Q1,4区
,ACM Transactions on Modeling and Computer Simulation,1.9,Q1,4区
2376-3639,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,1.6,Q3,4区
,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,1.6,Q3,4区
1551-6857,ACM Transactions on Multimedia Computing Communications and Applications,6,Q1,3区
,ACM Transactions on Multimedia Computing Communications and Applications,6,Q1,3区
2329-4949,ACM Transactions on Parallel Computing,1.2,Q3,4区
,ACM Transactions on Parallel Computing,1.2,Q3,4区
2471-2566,ACM Transactions on Privacy and Security,2.8,Q2,3区
,ACM Transactions on Privacy and Security,2.8,Q2,3区
0164-0925,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,1.6,Q3,2区
,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,1.6,Q3,2区
2643-6809,ACM Transactions on Quantum Computing,6.8,Q1,3区
,ACM Transactions on Quantum Computing,6.8,Q1,3区
1936-7406,ACM Transactions on Reconfigurable Technology and Systems,2.8,Q2,3区
,ACM Transactions on Reconfigurable Technology and Systems,2.8,Q2,3区
1550-4859,ACM Transactions on Sensor Networks,4.7,Q1,4区
,ACM Transactions on Sensor Networks,4.7,Q1,4区
1049-331X,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,6.2,Q1,1区
,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,6.2,Q1,1区
2374-0353,ACM Transactions on Spatial Algorithms and Systems,1.6,Q3,4区
,ACM Transactions on Spatial Algorithms and Systems,1.6,Q3,4区
1553-3077,ACM Transactions on Storage,2.6,Q2,3区
,ACM Transactions on Storage,2.6,Q2,3区
1559-1131,ACM Transactions on the Web,4.1,Q1,4区
,ACM Transactions on the Web,4.1,Q1,4区
0001-494X,ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,0.1,,4区
,ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,0.1,,4区
1063-7710,ACOUSTICAL PHYSICS,1.2,Q3,4区
,ACOUSTICAL PHYSICS,1.2,Q3,4区
1346-3969,Acoustical Science and Technology,0.6,Q4,4区
,Acoustical Science and Technology,0.6,Q4,4区
0814-6039,Acoustics Australia,1.8,Q3,4区
,Acoustics Australia,1.8,Q3,4区
2624-599X,Acoustics,,,4区
,Acoustics,1.2,Q3,4区
1828-454X,Acque Sotterranee-Italian Journal of Groundwater,,,4区
,Acque Sotterranee-Italian Journal of Groundwater,,,4区
2578-5745,ACR Open Rheumatology,,,3区
,ACR Open Rheumatology,2.8,Q2,3区
1585-1923,Across Languages and Cultures,0.9,Q3,1区
,Across Languages and Cultures,0.9,Q3,1区
2692-1952,ACS Agricultural Science & Technology,,,4区
,ACS Agricultural Science & Technology,2.9,Q1,4区
2576-6422,ACS Applied Bio Materials,4.7,Q2,3区
,ACS Applied Bio Materials,4.7,Q2,3区
2637-6113,ACS Applied Electronic Materials,,,3区
,ACS Applied Electronic Materials,4.7,Q2,3区
2574-0962,ACS Applied Energy Materials,5.5,Q2,3区
,ACS Applied Energy Materials,5.5,Q2,3区
1944-8244,ACS Applied Materials & Interfaces,8.2,Q1,2区
,ACS Applied Materials & Interfaces,8.2,Q1,2区
2574-0970,ACS Applied Nano Materials,,,3区
,ACS Applied Nano Materials,5.5,Q2,3区
2637-6105,ACS Applied Polymer Materials,4.7,Q1,2区
,ACS Applied Polymer Materials,4.7,Q1,2区
2694-2437,ACS Bio & Med Chem Au,,,4区
,ACS Bio & Med Chem Au,4.3,Q2,4区
2373-9878,ACS Biomaterials Science & Engineering,5.5,Q2,3区
,ACS Biomaterials Science & Engineering,5.5,Q2,3区
2155-5435,ACS Catalysis,13.1,Q1,1区
,ACS Catalysis,13.1,Q1,1区
2374-7943,ACS Central Science,10.4,Q1,1区
,ACS Central Science,10.4,Q1,1区
1554-8929,ACS Chemical Biology,3.8,Q2,2区
,ACS Chemical Biology,3.8,Q2,2区
1878-0504,ACS Chemical Health & Safety,,,4区
,ACS Chemical Health & Safety,3.4,Q1,4区
1948-7193,ACS Chemical Neuroscience,3.9,Q2,3区
,ACS Chemical Neuroscience,3.9,Q2,3区
2472-3452,ACS Earth and Space Chemistry,2.9,Q2,3区
,ACS Earth and Space Chemistry,2.9,Q2,3区
2380-8195,ACS Energy Letters,18.2,Q1,1区
,ACS Energy Letters,18.2,Q1,1区
2694-2488,ACS Engineering Au,,,3区
,ACS Engineering Au,5.1,Q2,3区
2694-2518,ACS Environmental Au,,,2区
,ACS Environmental Au,7.7,Q1,2区
2690-0645,ACS ES&T Engineering,,,3区
,ACS ES&T Engineering,6.7,Q2,3区
2690-0637,ACS ES&T Water,,,3区
,ACS ES&T Water,4.3,Q1,3区
2692-1944,ACS Food Science & Technology,,,4区
,ACS Food Science & Technology,2.8,Q3,4区
2373-8227,ACS Infectious Diseases,3.8,Q1,2区
,ACS Infectious Diseases,3.8,Q1,2区
2161-1653,ACS Macro Letters,,,1区
,ACS Macro Letters,5.2,Q1,1区
2694-2461,ACS Materials Au,6.5,Q2,3区
,ACS Materials Au,6.5,Q2,3区
2639-4979,ACS Materials Letters,,,2区
,ACS Materials Letters,8.7,Q1,2区
2694-250X,ACS Measurement Science Au,,,2区
,ACS Measurement Science Au,9,Q1,2区
1948-5875,ACS Medicinal Chemistry Letters,4,Q2,3区
,ACS Medicinal Chemistry Letters,4,Q2,3区
1936-0851,ACS Nano,16,Q1,1区
,ACS Nano,16,Q1,1区
2694-2496,ACS Nanoscience Au,,,3区
,ACS Nanoscience Au,6.3,Q2,3区
2470-1343,ACS Omega,4.3,Q2,3区
,ACS Omega,4.3,Q2,3区
2694-247X,ACS Organic & Inorganic Au,4.4,Q2,3区
,ACS Organic & Inorganic Au,4.4,Q2,3区
2575-9108,ACS Pharmacology & Translational Science,,,3区
,ACS Pharmacology & Translational Science,3.7,Q2,3区
2330-4022,ACS Photonics,6.7,Q1,1区
,ACS Photonics,6.7,Q1,1区
2694-2445,ACS Physical Chemistry Au,,,3区
,ACS Physical Chemistry Au,4.3,Q2,3区
2694-2453,ACS Polymers Au,,,2区
,ACS Polymers Au,6.9,Q1,2区
2379-3694,ACS Sensors,9.1,Q1,1区
,ACS Sensors,9.1,Q1,1区
2168-0485,ACS Sustainable Chemistry & Engineering,7.3,Q1,1区
,ACS Sustainable Chemistry & Engineering,7.3,Q1,1区
2161-5063,ACS Synthetic Biology,3.9,Q1,2区
,ACS Synthetic Biology,3.9,Q1,2区
1091-5397,ACSMS HEALTH & FITNESS JOURNAL,1.8,Q2,4区
,ACSMS HEALTH & FITNESS JOURNAL,1.8,Q2,4区
2681-4617,ACTA ACUSTICA,,,4区
,ACTA ACUSTICA,1.4,Q3,4区
0001-5113,ACTA ADRIATICA,0.6,Q4,4区
,ACTA ADRIATICA,0.6,Q4,4区
0906-4702,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0.9,Q3,4区
,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0.9,Q3,4区
0906-4710,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,1.8,Q2,4区
,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,1.8,Q2,4区
0065-0951,ACTA AGROBOTANICA,1.3,Q3,3区
,ACTA AGROBOTANICA,1.3,Q3,3区
0139-3006,ACTA ALIMENTARIA,1,Q4,4区
,ACTA ALIMENTARIA,1,Q4,4区
0044-5967,ACTA AMAZONICA,,,4区
,ACTA AMAZONICA,,,4区
0001-5164,ACTA ANAESTHESIOLOGICA BELGICA,0.3,Q4,4区
,ACTA ANAESTHESIOLOGICA BELGICA,0.3,Q4,4区
0001-5172,ACTA ANAESTHESIOLOGICA SCANDINAVICA,2,Q2,4区
,ACTA ANAESTHESIOLOGICA SCANDINAVICA,2,Q2,4区
0353-5150,Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,0.2,,3区
,Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,0.2,,3区
1234-950X,Acta Angiologica,0.3,Q4,4区
,Acta Angiologica,0.3,Q4,4区
0167-8019,ACTA APPLICANDAE MATHEMATICAE,1,Q3,4区
,ACTA APPLICANDAE MATHEMATICAE,1,Q3,4区
0065-101X,ACTA ARCHAEOLOGICA,0.4,,3区
,ACTA ARCHAEOLOGICA,0.4,,3区
0065-1036,ACTA ARITHMETICA,0.4,Q4,3区
,ACTA ARITHMETICA,0.4,Q4,3区
0094-5765,ACTA ASTRONAUTICA,3.4,Q1,2区
,ACTA ASTRONAUTICA,3.4,Q1,2区
0001-5237,ACTA ASTRONOMICA,0.6,Q4,4区
,ACTA ASTRONOMICA,0.6,Q4,4区
2082-1867,Acta Balneologica,0.2,Q4,4区
,Acta Balneologica,0.2,Q4,4区
0065-1044,Acta Baltico-Slavica,0.1,,4区
,Acta Baltico-Slavica,0.1,,4区
1672-9145,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,3.4,Q1,2区
,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,3.4,Q1,2区
0001-527X,ACTA BIOCHIMICA POLONICA,,,4区
,ACTA BIOCHIMICA POLONICA,1.7,Q4,4区
2244-8136,Acta Bioclinica,,,4区
,Acta Bioclinica,,,4区
0717-5906,Acta Bioethica,0.3,Q4,4区
,Acta Bioethica,0.3,Q4,4区
0120-548X,ACTA BIOLOGICA COLOMBIANA,0.4,Q4,4区
,ACTA BIOLOGICA COLOMBIANA,0.4,Q4,4区
0001-5296,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0.4,Q4,4区
,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0.4,Q4,4区
1742-7061,Acta Biomaterialia,9.6,Q1,1区
,Acta Biomaterialia,9.6,Q1,1区
0325-2957,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0.1,Q4,4区
,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0.1,Q4,4区
0001-5342,ACTA BIOTHEORETICA,1.5,Q4,3区
,ACTA BIOTHEORETICA,1.5,Q4,3区
0800-3831,Acta Borealia,,,4区
,Acta Borealia,,,4区
0102-3306,Acta Botanica Brasilica,1.1,Q3,4区
,Acta Botanica Brasilica,1.1,Q3,4区
0365-0588,ACTA BOTANICA CROATICA,,,4区
,ACTA BOTANICA CROATICA,,,4区
2448-7589,Acta Botanica Mexicana,,,4区
,Acta Botanica Mexicana,,,4区
2526-432X,Acta Brasiliensis,0.1,Q4,4区
,Acta Brasiliensis,0.1,Q4,4区
1011-6842,Acta Cardiologica Sinica,1.8,Q3,4区
,Acta Cardiologica Sinica,1.8,Q3,4区
0001-5385,ACTA CARDIOLOGICA,2.5,Q2,4区
,ACTA CARDIOLOGICA,2.5,Q2,4区
0583-6050,ACTA CARSOLOGICA,1.1,Q4,4区
,ACTA CARSOLOGICA,1.1,Q4,4区
2067-2438,Acta Chemica Iasi,0.3,Q4,4区
,Acta Chemica Iasi,0.3,Q4,4区
0567-7351,ACTA CHIMICA SINICA,1.6,Q3,2区
,ACTA CHIMICA SINICA,1.6,Q3,2区
1337-978X,Acta Chimica Slovaca,,,4区
,Acta Chimica Slovaca,,,4区
1318-0207,ACTA CHIMICA SLOVENICA,1.3,Q3,4区
,ACTA CHIMICA SLOVENICA,1.3,Q3,4区
1508-1109,ACTA CHIROPTEROLOGICA,,,4区
,ACTA CHIROPTEROLOGICA,,,4区
0001-5415,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,0.4,Q4,4区
,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,0.4,Q4,4区
0001-5458,ACTA CHIRURGICA BELGICA,,,4区
,ACTA CHIRURGICA BELGICA,,,4区
1233-2356,ACTA CHROMATOGRAPHICA,1.7,Q3,4区
,ACTA CHROMATOGRAPHICA,1.7,Q3,4区
0102-8650,Acta Cirurgica Brasileira,1.3,Q3,4区
,Acta Cirurgica Brasileira,1.3,Q3,4区
0065-1141,Acta Classica,<0.1,,3区
,Acta Classica,<0.1,,3区
1784-3286,ACTA CLINICA BELGICA,,,4区
,ACTA CLINICA BELGICA,,,4区
0353-9466,Acta Clinica Croatica,,,4区
,Acta Clinica Croatica,,,4区
0123-9155,Acta Colombiana de Psicologia,,,4区
,Acta Colombiana de Psicologia,,,4区
2053-2733,Acta Crystallographica A-Foundation and Advances,1.8,Q3,4区
,Acta Crystallographica A-Foundation and Advances,1.8,Q3,4区
2052-5206,Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,,,3区
,Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,1.3,Q3,3区
2053-2296,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,,,4区
,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,,,4区
2059-7983,Acta Crystallographica Section D-Structural Biology,3.8,Q1,4区
,Acta Crystallographica Section D-Structural Biology,3.8,Q1,4区
2056-9890,Acta Crystallographica Section E-Crystallographic Communications,0.6,Q4,4区
,Acta Crystallographica Section E-Crystallographic Communications,0.6,Q4,4区
2053-230X,Acta Crystallographica Section F-Structural Biology Communications,,,4区
,Acta Crystallographica Section F-Structural Biology Communications,1.1,Q3,4区
0324-721X,Acta Cybernetica,,,4区
,Acta Cybernetica,,,4区
0001-5547,ACTA CYTOLOGICA,1.7,Q3,4区
,ACTA CYTOLOGICA,1.7,Q3,4区
0001-5555,ACTA DERMATO-VENEREOLOGICA,3.7,Q1,3区
,ACTA DERMATO-VENEREOLOGICA,3.7,Q1,3区
1318-4458,Acta Dermatovenerologica Alpina Pannonica et Adriatica,1,Q4,4区
,Acta Dermatovenerologica Alpina Pannonica et Adriatica,1,Q4,4区
1330-027X,Acta Dermatovenerologica Croatica,0.5,Q4,4区
,Acta Dermatovenerologica Croatica,0.5,Q4,4区
0940-5429,ACTA DIABETOLOGICA,2.9,Q3,3区
,ACTA DIABETOLOGICA,2.9,Q3,3区
1841-0987,Acta Endocrinologica-Bucharest,,,4区
,Acta Endocrinologica-Bucharest,,,4区
